defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,offensive_alignment,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,avg_defender_to_deepest_safety_depth,defender_lateral_spread,std_lb_depth,lb_lateral_spread,avg_lb_depth,std_db_depth,avg_db_depth,safety_lateral_spread,std_safety_depth,avg_safety_depth,safety_depth_diff,mof_open,man_zone,target_y
13.39,25.42,4.16,17.79,8.06,32.25,4.72,15.4,0.17,27.12,0.49,23.72,5.36,23.04,0.44,17.35,0.19,29.77,3.54,29.93,0.29,20.56,0.0,-3.0,3.0,1.0,3.0,13.39,4.16,11.0,0.0,5.0,8.0,3.71,3.9804,5.44,3.54,9.68,16.85,2.3804,12.42,1.9967,3.6589,6.774,7.63,4.615,8.775,9.23,0.0,0.0,0.0
0.7,22.29,1.35,31.23,0.47,35.37,3.88,37.39,0.92,26.97,1.36,29.09,16.75,23.18,1.39,11.52,4.79,23.17,1.15,45.52,0.84,32.95,0.0,0.0,1.0,3.0,3.0,16.75,3.88,9.0,2.0,8.0,8.0,3.0545,4.5239,2.4433,1.15,13.6955,34.0,0.325,8.94,1.025,5.7526,5.592,14.21,6.435,10.315,12.870000000000001,0.0,1.0,1.0
4.19,29.08,0.28,31.84,3.99,21.29,2.48,11.14,0.05,36.48,0.67,28.72,11.34,20.3,0.14,24.62,12.91,32.66,3.27,32.03,4.27,37.48,2.0,1.0,3.0,2.0,3.0,12.91,11.34,10.0,1.0,4.0,8.0,3.9627,4.1738,3.58,2.48,8.9473,26.34,1.7335,7.41,2.5333,4.2593,6.998,12.36,0.785,12.125,1.5700000000000003,1.0,1.0,2.0
0.1,28.18,5.21,23.01,0.68,14.47,0.5,21.3,17.43,36.08,4.46,25.09,4.75,28.84,0.48,26.32,0.77,18.71,13.33,18.15,1.64,44.59,2.0,1.0,4.0,2.0,3.0,17.43,13.33,9.0,2.0,5.0,7.0,4.4864,5.5097,2.3567,0.68,12.9436,30.12,0.0,0.0,4.46,6.132,7.1733,17.93,5.078,11.99,4.1,1.0,1.0,1.0
5.64,9.02,0.02,34.72,2.07,26.67,0.22,32.72,0.26,26.4,0.17,29.7,3.32,38.54,7.63,40.08,0.16,22.96,12.83,33.98,8.6,17.83,0.0,0.0,1.0,4.0,1.0,12.83,8.6,8.0,3.0,5.0,7.0,3.72,4.1762,5.53,3.32,9.11,31.06,0.8417,11.76,0.6175,3.1785,7.604,16.15,2.115,10.715,4.23,0.0,1.0,2.0
0.54,27.34,0.53,36.55,8.18,9.98,16.3,18.88,4.48,35.64,4.88,26.03,0.75,32.15,0.29,23.86,11.96,33.77,7.72,40.58,6.22,19.64,1.0,-3.0,3.0,3.0,3.0,16.3,11.96,7.0,4.0,4.0,6.0,5.6227,4.966,7.3733,6.22,10.6773,30.6,2.1095,12.69,1.9,3.9242,9.1433,16.76,4.8819,10.9133,4.34,1.0,1.0,3.0
0.8,30.96,14.64,24.94,3.55,24.16,9.29,35.09,0.55,35.45,0.69,28.04,3.68,31.32,6.59,39.58,3.48,27.14,0.82,24.28,5.17,19.71,1.0,-1.0,4.0,1.0,3.0,14.64,9.29,10.0,1.0,4.0,7.0,4.4782,4.162,5.1033,3.55,10.1618,19.87,1.4524,11.17,2.1325,3.8843,7.848,10.15,2.675,11.965,5.350000000000001,0.0,1.0,2.0
16.33,32.95,3.41,34.46,0.83,28.59,0.9,32.27,0.59,35.08,3.53,15.24,0.21,24.77,0.71,18.85,0.81,39.44,3.03,25.22,4.53,38.39,0.0,1.0,3.0,1.0,3.0,16.33,0.81,9.0,2.0,6.0,8.0,3.1709,4.3995,2.9233,0.71,13.1591,24.2,0.19,9.24,3.22,5.7714,5.182,6.49,7.76,8.57,15.519999999999998,0.0,0.0,0.0
0.26,18.55,13.82,33.17,0.44,21.27,16.13,16.96,0.59,24.6,4.62,32.63,1.26,17.32,5.77,26.19,0.53,28.16,1.93,42.95,4.21,11.15,3.0,1.0,3.0,1.0,3.0,16.13,13.82,9.0,2.0,5.0,6.0,4.5055,5.2781,2.4667,1.26,11.6245,31.8,2.3733,14.08,3.55,6.2482,7.47,16.21,1.155,14.975,2.3099999999999987,1.0,1.0,1.0
0.71,34.58,3.47,24.85,1.09,31.26,1.95,38.68,0.78,29.09,3.58,32.02,2.73,19.3,0.84,26.46,2.93,28.52,1.14,24.34,1.34,36.35,0.0,0.0,1.0,3.0,0.0,3.47,1.95,10.0,1.0,6.0,10.0,1.8691,1.0605,2.73,2.73,1.6209,19.38,0.325,3.5,3.255,0.6206,2.7167,13.83,0.76,2.71,1.5200000000000002,0.0,2.0,5.0
