defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,offensive_alignment,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,avg_defender_to_deepest_safety_depth,defender_lateral_spread,std_lb_depth,lb_lateral_spread,avg_lb_depth,std_db_depth,avg_db_depth,safety_lateral_spread,std_safety_depth,avg_safety_depth,safety_depth_diff,mof_open,man_zone,target_y
5.73,27.1,6.72,43.67,0.28,22.45,3.37,35.08,2.04,13.23,16.74,31.3,9.91,11.57,0.78,28.83,2.56,20.14,0.54,18.55,0.72,25.76,3.0,3.0,3.0,1.0,3.0,16.74,2.04,7.0,4.0,4.0,5.0,4.49,4.8452,8.315,6.72,12.25,32.1,1.8946,16.53,2.596,5.3453,8.8525,18.07,7.35,9.39,14.7,0.0,1.0,2.0
3.45,36.99,6.4,10.46,12.9,18.82,1.03,18.5,4.28,27.33,0.37,35.7,12.16,36.67,5.69,46.33,0.43,24.67,0.44,27.05,0.45,31.21,3.0,0.0,4.0,1.0,3.0,12.9,12.16,7.0,4.0,5.0,6.0,4.3273,4.4069,4.3733,1.03,8.5727,35.87,1.6543,12.32,2.72,4.4075,7.636,17.85,0.37,12.53,0.7400000000000002,1.0,1.0,4.0
7.1,10.74,0.52,26.85,0.09,16.86,0.12,29.85,11.75,18.66,5.42,20.47,0.61,22.68,13.48,34.57,5.81,25.83,7.79,43.01,3.82,33.25,0.0,1.0,4.0,3.0,3.0,11.75,5.42,8.0,3.0,4.0,5.0,5.1373,4.4614,8.0475,3.82,6.9273,32.27,2.86,8.97,2.95,3.3854,8.2267,1.81,3.165,8.585,6.33,0.0,1.0,4.0
0.4,29.53,0.27,17.54,12.41,33.62,10.1,15.48,0.73,20.59,3.88,17.71,3.75,32.73,4.94,24.13,6.18,9.89,0.49,24.35,6.68,42.64,0.0,0.0,1.0,2.0,3.0,12.41,10.1,9.0,2.0,4.0,7.0,4.53,3.9037,6.43,6.18,7.88,32.75,1.999,6.59,3.03,3.0601,7.824,18.14,3.6614,8.7533,2.3100000000000005,1.0,1.0,4.0
0.77,33.13,0.88,27.14,8.39,16.97,0.88,34.59,0.91,29.27,0.68,22.66,0.92,25.31,7.19,43.87,11.07,10.51,8.82,22.4,0.96,31.1,1.0,-1.0,4.0,3.0,3.0,8.82,0.88,8.0,3.0,7.0,7.0,3.77,3.946,8.8833,7.19,5.4591,33.36,0.015,2.13,0.895,3.4332,7.27,12.19,3.97,4.85,7.94,0.0,0.0,5.0
0.04,24.65,9.98,22.88,7.11,9.75,3.78,41.91,0.12,31.8,0.23,30.43,0.21,35.25,0.43,27.44,11.41,32.9,4.64,21.81,3.05,31.94,1.0,1.0,2.0,3.0,2.0,11.41,9.98,9.0,2.0,5.0,7.0,3.7273,3.9651,5.1767,3.78,7.6827,32.16,0.0,0.0,0.43,3.141,6.6617,10.02,3.6509,8.1467,1.4299999999999995,0.0,1.0,4.0
0.96,23.21,0.35,20.6,5.91,36.7,0.59,15.65,7.28,43.13,0.46,26.27,6.55,16.1,0.45,29.83,11.88,30.51,3.59,25.0,8.03,11.5,0.0,-1.0,1.0,3.0,1.0,11.88,6.55,8.0,3.0,5.0,6.0,4.1864,3.7942,7.0733,5.91,7.6936,31.63,1.3758,6.62,1.6667,2.0986,7.93,14.41,2.665,9.215,5.330000000000001,0.0,1.0,2.0
5.93,7.96,15.27,32.65,7.05,22.12,5.11,28.44,0.37,23.14,1.18,28.37,0.58,26.95,5.49,17.03,6.43,39.05,0.84,38.08,18.0,15.54,4.0,-3.0,2.0,1.0,3.0,18.0,15.27,7.0,4.0,4.0,4.0,6.0227,5.5857,5.95,5.49,11.9773,31.09,2.827,15.96,3.3425,5.3136,10.224,17.11,1.365,16.635,2.7300000000000004,1.0,1.0,1.0
3.9,33.46,0.57,9.67,5.29,36.01,0.63,28.97,2.77,39.24,1.94,17.94,0.79,32.5,4.19,28.7,0.12,36.39,0.15,24.65,12.72,20.77,0.0,-1.0,3.0,2.0,2.0,12.72,5.29,9.0,2.0,5.0,7.0,3.0064,3.5155,1.67,0.57,9.7136,29.57,0.9993,15.52,3.3433,4.5778,5.3375,15.24,3.715,9.005,7.430000000000001,0.0,1.0,4.0
1.49,24.64,14.59,26.73,4.8,19.77,0.7,29.23,1.23,21.39,5.27,23.45,6.52,13.01,5.21,27.28,0.86,17.85,5.19,34.49,1.31,38.19,2.0,0.0,2.0,2.0,2.0,14.59,4.8,8.0,3.0,5.0,5.0,4.2882,3.8692,4.34,1.31,10.3018,25.18,2.2308,11.38,3.01,4.4043,6.482,6.96,4.895,9.695,9.79,0.0,1.0,2.0
