defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,target_y
5.73,27.1,6.72,43.67,0.28,22.45,3.37,35.08,2.04,13.23,16.74,31.3,9.91,11.57,0.78,28.83,2.56,20.14,0.54,18.55,0.72,25.76,16.74,2.04,7.0,4.0,4.0,5.0,4.49,4.8452,8.315,6.72,2.0
3.45,36.99,6.4,10.46,12.9,18.82,1.03,18.5,4.28,27.33,0.37,35.7,12.16,36.67,5.69,46.33,0.43,24.67,0.44,27.05,0.45,31.21,12.9,12.16,7.0,4.0,5.0,6.0,4.3273,4.4069,4.3733,1.03,4.0
7.1,10.74,0.52,26.85,0.09,16.86,0.12,29.85,11.75,18.66,5.42,20.47,0.61,22.68,13.48,34.57,5.81,25.83,7.79,43.01,3.82,33.25,11.75,5.42,8.0,3.0,4.0,5.0,5.1373,4.4614,8.0475,3.82,4.0
0.4,29.53,0.27,17.54,12.41,33.62,10.1,15.48,0.73,20.59,3.88,17.71,3.75,32.73,4.94,24.13,6.18,9.89,0.49,24.35,6.68,42.64,12.41,10.1,9.0,2.0,4.0,7.0,4.53,3.9037,6.43,6.18,4.0
0.77,33.13,0.88,27.14,8.39,16.97,0.88,34.59,0.91,29.27,0.68,22.66,0.92,25.31,7.19,43.87,11.07,10.51,8.82,22.4,0.96,31.1,8.82,0.88,8.0,3.0,7.0,7.0,3.77,3.946,8.8833,7.19,6.0
0.04,24.65,9.98,22.88,7.11,9.75,3.78,41.91,0.12,31.8,0.23,30.43,0.21,35.25,0.43,27.44,11.41,32.9,4.64,21.81,3.05,31.94,11.41,9.98,9.0,2.0,5.0,7.0,3.7273,3.9651,5.1767,3.78,4.0
0.96,23.21,0.35,20.6,5.91,36.7,0.59,15.65,7.28,43.13,0.46,26.27,6.55,16.1,0.45,29.83,11.88,30.51,3.59,25.0,8.03,11.5,11.88,6.55,8.0,3.0,5.0,6.0,4.1864,3.7942,7.0733,5.91,2.0
5.93,7.96,15.27,32.65,7.05,22.12,5.11,28.44,0.37,23.14,1.18,28.37,0.58,26.95,5.49,17.03,6.43,39.05,0.84,38.08,18.0,15.54,18.0,15.27,7.0,4.0,4.0,4.0,6.0227,5.5857,5.95,5.49,1.0
3.9,33.46,0.57,9.67,5.29,36.01,0.63,28.97,2.77,39.24,1.94,17.94,0.79,32.5,4.19,28.7,0.12,36.39,0.15,24.65,12.72,20.77,12.72,5.29,9.0,2.0,5.0,7.0,3.0064,3.5155,1.67,0.57,4.0
1.49,24.64,14.59,26.73,4.8,19.77,0.7,29.23,1.23,21.39,5.27,23.45,6.52,13.01,5.21,27.28,0.86,17.85,5.19,34.49,1.31,38.19,14.59,4.8,8.0,3.0,5.0,5.0,4.2882,3.8692,4.34,1.31,2.0
0.43,29.55,0.57,34.54,0.45,42.91,3.82,15.21,14.79,29.4,1.74,31.72,0.96,27.03,4.72,25.61,5.28,21.75,0.61,23.44,1.65,19.08,14.79,5.28,8.0,3.0,5.0,6.0,3.1836,4.0425,1.9733,0.45,3.0
16.16,35.5,4.93,10.34,0.54,27.02,0.98,31.51,5.11,36.12,7.74,42.14,0.18,24.59,5.13,18.89,12.43,21.62,0.69,35.16,4.5,25.92,16.16,12.43,8.0,3.0,4.0,5.0,5.3082,4.9023,5.9333,4.93,4.0
6.08,40.23,10.3,15.44,2.87,28.55,3.0,17.72,0.14,29.76,0.82,22.84,0.32,21.35,5.36,36.15,0.24,26.41,13.29,32.11,5.39,10.31,13.29,10.3,8.0,3.0,4.0,6.0,4.3464,4.1314,5.61,5.36,4.0
1.38,14.86,1.31,18.37,0.36,25.84,0.35,19.63,7.87,37.95,3.64,25.02,4.04,22.21,3.49,28.25,0.62,29.17,0.32,22.55,15.17,31.03,15.17,1.31,10.0,1.0,6.0,9.0,3.5045,4.2967,4.625,1.38,2.0
0.59,26.83,0.47,36.21,0.41,43.87,3.85,18.77,16.56,24.06,2.6,34.15,1.05,31.94,0.96,30.53,0.61,24.02,12.73,38.04,3.76,23.33,16.56,12.73,9.0,2.0,6.0,7.0,3.9627,5.2432,2.6733,0.41,0.0
0.39,24.26,6.63,38.42,0.47,29.33,3.93,34.9,5.69,29.45,3.48,22.2,3.64,43.55,0.43,34.55,17.01,23.82,0.85,11.47,0.32,32.13,17.01,6.63,9.0,2.0,5.0,6.0,3.8945,4.6809,2.6567,0.85,3.0
0.64,28.44,4.7,31.66,2.12,9.4,0.79,31.44,0.44,24.62,4.58,35.17,4.17,39.16,0.52,35.53,16.1,23.35,4.79,26.8,3.72,19.93,16.1,4.58,10.0,1.0,4.0,9.0,3.87,4.2394,3.3367,2.12,2.0
4.5,28.24,7.1,29.82,1.01,26.89,0.35,35.12,1.97,25.29,0.73,24.66,2.95,20.06,0.83,30.76,4.25,32.33,1.88,23.91,1.31,37.71,7.1,1.97,11.0,0.0,5.0,10.0,2.4436,1.9826,2.0467,1.31,6.0
0.49,22.3,0.2,28.59,6.77,34.39,11.17,29.0,0.2,18.39,4.37,21.09,1.51,30.76,0.45,25.26,1.26,12.72,14.94,16.73,3.86,26.54,14.94,11.17,9.0,2.0,5.0,7.0,4.1109,4.7319,3.18,1.26,3.0
0.45,31.85,3.39,32.1,0.36,29.37,7.65,9.96,0.54,36.81,12.86,19.58,7.94,35.68,2.18,18.88,3.3,27.15,0.86,44.07,0.41,24.17,12.86,7.94,7.0,4.0,5.0,6.0,3.6309,3.9381,3.5633,0.86,4.0
5.03,27.41,3.02,31.78,2.79,14.8,1.06,22.83,0.98,25.72,0.75,28.68,2.98,25.15,1.37,19.46,3.31,22.5,5.2,20.54,2.76,29.87,5.2,5.03,11.0,0.0,4.0,9.0,2.6591,1.4599,2.905,2.79,5.0
0.28,22.92,3.8,16.23,8.55,23.92,0.37,25.78,1.35,28.71,2.91,18.05,0.18,20.22,1.6,39.25,14.58,36.45,0.39,32.4,1.25,18.88,14.58,8.55,9.0,2.0,6.0,7.0,3.2055,4.2843,2.77,1.6,7.0
13.05,20.42,5.89,34.04,0.32,21.37,4.65,21.44,14.33,34.78,0.49,17.47,0.59,27.04,5.54,27.96,8.69,11.48,0.47,30.03,5.17,43.28,14.33,13.05,7.0,4.0,4.0,5.0,5.3809,4.7417,6.5833,5.17,3.0
5.51,31.38,13.03,23.78,1.09,30.84,0.83,26.94,7.57,34.81,3.71,12.23,0.71,24.24,5.16,25.11,2.28,38.35,8.1,40.82,0.92,35.87,13.03,7.57,9.0,2.0,4.0,5.0,4.4464,3.7465,4.6967,2.28,3.0
1.36,27.95,11.55,25.94,1.29,18.73,7.57,20.63,5.18,24.89,6.4,17.88,1.74,22.37,5.06,31.62,1.32,25.37,4.92,28.0,1.46,31.66,11.55,7.57,11.0,0.0,4.0,6.0,4.35,3.1706,6.4,6.4,2.0
8.1,15.98,9.02,32.13,3.37,23.12,7.6,38.47,0.43,30.88,11.84,22.7,0.55,27.78,4.07,31.89,4.68,26.81,0.42,34.47,0.6,25.35,11.84,9.02,10.0,1.0,4.0,7.0,4.6073,3.8408,6.3567,3.37,4.0
0.82,36.89,0.27,32.69,0.31,29.39,4.19,34.34,4.96,30.46,3.97,26.23,11.55,36.24,0.44,25.25,15.35,23.73,8.5,39.92,2.71,20.14,15.35,11.55,11.0,0.0,4.0,8.0,4.8245,4.7819,5.06,2.71,4.0
6.1,41.82,10.43,16.65,3.76,26.06,4.28,19.22,1.03,29.23,0.56,15.81,0.83,24.87,0.88,21.17,1.93,35.16,6.67,10.2,13.86,34.13,13.86,10.43,7.0,4.0,4.0,6.0,4.5755,4.1705,4.9,1.93,3.0
1.92,40.32,0.92,29.55,1.37,23.8,4.84,27.45,1.31,19.3,4.45,34.48,13.13,25.82,1.71,37.97,0.89,32.39,1.14,35.55,0.93,27.31,13.13,1.71,9.0,2.0,6.0,8.0,2.9645,3.4766,2.69,1.31,0.0
12.07,29.8,9.58,23.0,0.62,17.68,0.47,8.1,0.28,25.91,0.08,20.59,1.62,23.45,1.23,15.68,0.18,29.44,0.38,34.35,6.66,43.45,12.07,9.58,8.0,3.0,7.0,6.0,3.0155,4.1209,2.5033,0.38,0.0
0.8,26.9,7.15,42.43,11.48,31.66,0.95,21.88,4.72,23.58,3.66,17.2,0.44,29.66,1.77,8.51,13.98,20.08,0.78,17.92,3.94,28.35,13.98,11.48,9.0,2.0,4.0,7.0,4.5155,4.3771,4.1933,1.77,4.0
