defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,offensive_alignment,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,avg_safety_distance,lateral_spread,target_y
0.95,26.5,6.04,20.99,0.49,17.08,1.78,11.8,5.14,44.27,5.73,35.12,13.43,31.91,8.18,25.1,0.8,29.72,15.79,18.79,1.0,22.99,0.0,1.0,4.0,1.0,3.0,15.79,13.43,8.0,3.0,4.0,4.0,5.3936,5.0297,4.2167,1.78,10.3964,32.47,1.0
3.65,28.92,0.62,33.22,0.37,24.38,0.6,26.94,1.91,35.93,0.29,34.8,0.33,30.56,3.49,32.07,1.22,17.32,8.47,23.33,1.83,37.76,0.0,-1.0,2.0,1.0,3.0,8.47,1.91,10.0,1.0,6.0,9.0,2.0709,2.3282,1.525,1.22,6.3991,20.44,5.0
0.48,30.26,4.14,28.17,4.38,23.07,1.07,20.78,0.23,26.24,0.64,17.87,1.49,7.64,0.92,23.79,5.06,14.43,14.81,25.21,5.76,43.41,0.0,1.0,3.0,1.0,3.0,14.81,5.06,9.0,2.0,6.0,7.0,3.5436,4.0588,3.625,1.49,11.2664,35.77,2.0
0.9,29.42,1.16,26.46,4.15,8.65,0.76,30.62,0.7,19.09,14.01,24.07,0.71,24.96,4.66,44.94,11.06,35.28,1.34,22.7,0.62,21.19,0.0,-1.0,1.0,2.0,2.0,14.01,11.06,8.0,3.0,7.0,7.0,3.6427,4.4465,3.19,0.76,10.3673,36.29,1.0
0.06,21.54,2.04,20.09,0.85,33.39,0.35,32.21,1.23,23.13,6.56,37.09,0.29,27.7,3.07,27.32,0.15,25.43,0.12,29.62,6.55,27.59,0.0,-2.0,2.0,1.0,2.0,6.55,1.23,11.0,0.0,7.0,9.0,1.9336,2.3525,4.3,2.04,4.6182,17.0,0.0
3.75,35.03,0.82,20.81,2.38,45.06,4.77,21.42,5.06,28.97,1.19,27.17,4.19,13.84,1.09,23.71,9.2,21.45,1.2,18.0,9.26,35.74,1.0,-3.0,3.0,2.0,2.0,9.26,9.2,8.0,3.0,4.0,6.0,3.9009,2.9132,3.285,2.38,5.3591,31.22,5.0
1.1,24.41,0.66,29.41,1.09,26.72,13.89,24.61,1.19,16.68,1.59,20.76,5.09,28.55,4.11,19.34,7.71,13.62,5.28,23.83,2.01,37.81,0.0,0.0,1.0,2.0,1.0,13.89,5.09,9.0,2.0,4.0,6.0,3.9745,3.8151,4.86,2.01,9.9155,24.19,2.0
0.88,23.26,1.36,25.89,2.04,38.38,0.75,36.77,0.77,34.41,1.16,17.72,2.44,33.21,1.24,30.57,12.37,24.28,17.55,34.08,1.89,41.65,1.0,-1.0,1.0,3.0,3.0,17.55,12.37,9.0,2.0,6.0,7.0,3.8591,5.3729,1.6967,1.16,13.6909,23.93,1.0
0.82,26.79,0.79,30.76,7.27,42.12,6.22,34.53,3.72,24.61,1.66,18.37,0.6,32.87,0.7,21.88,1.55,9.44,16.69,26.83,1.99,34.46,0.0,1.0,4.0,1.0,3.0,16.69,6.22,9.0,2.0,4.0,7.0,3.8191,4.6197,3.4933,1.55,12.8709,32.68,0.0
16.88,30.45,8.14,24.76,0.43,32.59,2.87,34.44,0.47,20.28,0.74,23.09,1.69,14.49,1.04,29.65,3.07,38.54,1.18,26.22,6.96,44.57,1.0,1.0,1.0,3.0,3.0,16.88,8.14,8.0,3.0,5.0,6.0,3.9518,4.7844,4.3,2.87,12.9282,30.08,0.0
